GalaxyName,Class,Family,NPoints,RMSLog,ImprovementVsFixedS1,Coefficients,FitUse,Guardrail
NGC7331,A,quadratic_acceleration,36,0.118291247,-0.022813883,0.411514642;1.149070942;-0.599758636,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC7331,A,radius_plus_acceleration,36,0.118354095,-0.022876731,1.093466996;-2.018171967;2.177329012,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00128,A,galaxy_constant,22,0.243438130,-0.074457175,1.190752700,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00128,A,linear_radius,22,0.229266823,-0.060285867,1.325141228;-0.221171942,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00128,A,quadratic_radius,22,0.225255802,-0.056274847,1.508522654;-1.124123189;0.811802189,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00128,A,linear_acceleration,22,0.234852942,-0.065871986,1.447508460;-0.153656956,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00128,A,quadratic_acceleration,22,0.234029115,-0.065048160,2.012752011;-0.866395423;0.218578343,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00128,A,radius_plus_acceleration,22,0.223783461,-0.054802505,-1.506496745;-2.564112392;2.546582217,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00191,A,galaxy_constant,9,0.156867252,0.027804800,1.143310968,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00191,A,linear_radius,9,0.119378738,0.065293313,1.306286722;-0.387387615,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00191,A,quadratic_radius,9,0.118170247,0.066501804,1.231892926;0.171518365;-0.534841854,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00191,A,linear_acceleration,9,0.118837642,0.065834410,2.035354998;-0.834610211,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00191,A,quadratic_acceleration,9,0.118947220,0.065724832,0.998511835;1.060350290;-0.845538244,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00191,A,radius_plus_acceleration,9,0.118717409,0.065954643,1.723135327;-0.169819951;-0.475648505,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00731,C,galaxy_constant,12,0.340085575,-0.153807840,1.600496229,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00731,C,linear_radius,12,0.251590742,-0.065313007,2.568837918;-2.031062793,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00731,C,quadratic_radius,12,0.239312307,-0.053034572,2.879981425;-3.789558547;1.689528791,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00731,C,linear_acceleration,12,0.247046943,-0.060769209,-3.102137473;2.819188370,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00731,C,quadratic_acceleration,12,0.248241722,-0.061963988,-4.597035287;4.605947851;-0.525446559,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC00731,C,radius_plus_acceleration,12,0.241621923,-0.055344189,-0.662289512;-0.934125746;1.623509667,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC02455,C,galaxy_constant,8,0.407286512,0.211659063,-0.495696025,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC02455,C,linear_radius,8,0.318493627,0.300451948,-1.649773466;1.727914696,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC02455,C,quadratic_radius,8,0.312733826,0.306211748,-1.148180265;-0.525459420;1.906339676,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC02455,C,linear_acceleration,8,0.306441745,0.312503830,-2.180176758;3.363516487,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC02455,C,quadratic_acceleration,8,0.306593908,0.312351667,-2.000602001;2.521890595;0.880478541,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC02455,C,radius_plus_acceleration,8,0.306371945,0.312573630,-2.208536925;-0.140697096;3.607785095,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC03580,C,galaxy_constant,47,0.192738914,0.000326374,0.864942945,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC03580,C,linear_radius,47,0.205458076,-0.012392788,0.227241757;1.127330550,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
UGC03580,C,quadratic_radius,47,0.195196176,-0.002130888,-0.446213747;4.251753062;-2.781029014,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
