Galaxy,StellarMassVariant,RadiusKpc,VobsKms,ErrVobsKms,VbarKms,Model,VmodelKms,LogResidual,aN_over_a0,TPGLogKernel,RequiredS_tauDiagnostic,RadiusMatching,EndpointUse,ForbiddenUse,Guardrail
DDO50,kinematic,1.850000000,28.531100000,3.380000000,17.851881983,EmpiricalRARLike,40.528962240,-0.152446968,0.046522655,1.120783963,0.533744653,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.850000000,28.531100000,3.380000000,17.851881983,FixedTPG_S1,37.859985013,-0.122861922,0.046522655,1.120783963,0.533744653,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.960000000,30.830000000,3.490000000,19.028394896,NewtonianBaryonic,19.028394896,0.209571369,0.049890338,1.096780909,0.565482332,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.960000000,30.830000000,3.490000000,19.028394896,MONDSimpleMu,42.569551391,-0.140125549,0.049890338,1.096780909,0.565482332,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.960000000,30.830000000,3.490000000,19.028394896,EmpiricalRARLike,42.530255790,-0.139724470,0.049890338,1.096780909,0.565482332,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.960000000,30.830000000,3.490000000,19.028394896,FixedTPG_S1,39.898375141,-0.111981685,0.049890338,1.096780909,0.565482332,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.960000000,28.979500000,3.490000000,19.028394896,NewtonianBaryonic,19.028394896,0.182688732,0.049890338,1.096780909,0.476814304,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.960000000,28.979500000,3.490000000,19.028394896,MONDSimpleMu,42.569551391,-0.167008185,0.049890338,1.096780909,0.476814304,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.960000000,28.979500000,3.490000000,19.028394896,EmpiricalRARLike,42.530255790,-0.166607107,0.049890338,1.096780909,0.476814304,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.960000000,28.979500000,3.490000000,19.028394896,FixedTPG_S1,39.898375141,-0.138864321,0.049890338,1.096780909,0.476814304,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,2.080000000,32.090000000,3.440000000,20.311863529,NewtonianBaryonic,20.311863529,0.198619947,0.053567874,1.072435726,0.540698966,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,2.080000000,32.090000000,3.440000000,20.311863529,MONDSimpleMu,44.729803500,-0.144227273,0.053567874,1.072435726,0.540698966,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
